Genotype,Replicate,Sc,Tmes,Fias,Tcw,gmc,Tleaf,conv,eps_membrane,Dair,Dwater,effective_porosity,gcw,gcw_leaf,gias,gmem,gmem_bilayer,gmem_leaf,KCO2,Pmem25,R,rhoH,xi
WT,1,8.498693233,212.6581707,0.396101216,175.8680958,0.412169588,25,0.02477572,2,1.51E-05,1.97E-09,0.292775791,0.132615214,1.127056018,1.446122583,0.138852,0.046284,1.180060553,1,0.0014,8.314,33.06,1.57
WT,2,7.752294471,175.3773092,0.354572854,171.6797243,0.412169588,25,0.02477572,2,1.51E-05,1.97E-09,0.323212712,0.14997355,1.162639126,1.569687092,0.138852,0.046284,1.076421592,1,0.0014,8.314,33.06,1.57
WT,3,7.716984473,220.429187,0.33440578,200.099522,0.412169588,25,0.02477572,2,1.51E-05,1.97E-09,0.505501661,0.201243463,1.552992682,1.177838329,0.138852,0.046284,1.071518728,1,0.0014,8.314,33.06,1.57
WT,4,9.152379196,185.3609308,0.365106723,173.4008095,0.412169588,25,0.02477572,2,1.51E-05,1.97E-09,0.24135985,0.110881515,1.014829676,1.529264597,0.138852,0.046284,1.270826156,1,0.0014,8.314,33.06,1.57
8,1,8.526378388,180.0604555,0.36828104,147.6224649,0.558977445,25,0.02477572,2,1.51E-05,1.97E-09,0.690887199,0.372820634,3.178809793,1.58796901,0.138852,0.046284,1.183904692,1,0.0014,8.314,33.06,1.57
8,2,8.654046401,196.4701191,0.430947626,150.7633069,0.558977445,25,0.02477572,2,1.51E-05,1.97E-09,0.591740903,0.312666378,2.705829339,1.702977816,0.138852,0.046284,1.201631651,1,0.0014,8.314,33.06,1.57
8,3,9.155343744,221.1247679,0.42358742,170.3278802,0.558977445,25,0.02477572,2,1.51E-05,1.97E-09,0.707772367,0.331019142,3.030594029,1.48725922,0.138852,0.046284,1.27123779,1,0.0014,8.314,33.06,1.57
8,4,9.014813319,189.7128753,0.399358538,151.7147939,0.558977445,25,0.02477572,2,1.51E-05,1.97E-09,0.558571612,0.293289271,2.643948022,1.634357927,0.138852,0.046284,1.251724859,1,0.0014,8.314,33.06,1.57
10,1,8.95411524,197.7793705,0.385570736,154.0562191,0.521908711,25,0.02477572,2,1.51E-05,1.97E-09,0.478842727,0.247604713,2.217081136,1.513575469,0.138852,0.046284,1.243296809,1,0.0014,8.314,33.06,1.57
10,2,9.308393825,240.0685883,0.382130505,178.4834722,0.521908711,25,0.02477572,2,1.51E-05,1.97E-09,0.722462253,0.322450015,3.001491731,1.235826137,0.138852,0.046284,1.292489099,1,0.0014,8.314,33.06,1.57
10,3,10.0958573,213.4745641,0.418537496,157.5448076,0.521908711,25,0.02477572,2,1.51E-05,1.97E-09,0.358944648,0.181496659,1.832364371,1.522191325,0.138852,0.046284,1.401829978,1,0.0014,8.314,33.06,1.57
10,4,9.191796266,240.5060467,0.40891716,169.230149,0.521908711,25,0.02477572,2,1.51E-05,1.97E-09,0.616342727,0.290128094,2.666798334,1.320049882,0.138852,0.046284,1.276299295,1,0.0014,8.314,33.06,1.57
14,1,9.884285945,189.8393879,0.418746839,164.8042346,0.503146937,25,0.02477572,2,1.51E-05,1.97E-09,0.310104125,0.14989406,1.481595751,1.712561684,0.138852,0.046284,1.372452872,1,0.0014,8.314,33.06,1.57
14,2,7.971538772,245.5083138,0.395355326,145.9609316,0.503146937,25,0.02477572,2,1.51E-05,1.97E-09,0.808747827,0.441389245,3.518551483,1.250265929,0.138852,0.046284,1.106864102,1,0.0014,8.314,33.06,1.57
14,3,8.035387812,244.9231377,0.427050398,180.9405364,0.503146937,25,0.02477572,2,1.51E-05,1.97E-09,0.801876725,0.353034364,2.836768029,1.353724605,0.138852,0.046284,1.115729668,1,0.0014,8.314,33.06,1.57
14,4,8.404795818,200.6054345,0.410752346,173.3165732,0.503146937,25,0.02477572,2,1.51E-05,1.97E-09,0.516108105,0.237217013,1.993760557,1.589711679,0.138852,0.046284,1.167022709,1,0.0014,8.314,33.06,1.57
